Thread Id,Ticket Id,Created Time,Thread Status,Content,Is Private,From Email Address,Receipients,Has Attach,Thread Type,Time Zone,Scheduled Time,Is Schedule Active,Department Id,Layout Id,To Display Name,CC Display Name,BCC Display Name,Is Presence,Nested Thread Id
id,ticketId,createdTime,threadStatus,content,isPrivate,fromEmailAddress,receipients,hasAttach,threadType,timeZone,scheduledTime,isScheduleActive,departmentId,layoutId,toDisplayName,ccDisplayName,bccDisplayName,isPresence,nestedThreadId
900000000000310001,900000000000210001,2024-01-08 09:15:00,EMAIL INCOMING,"<div><p>Hi Support Team,</p><p>Several members of our engineering team are experiencing VPN disconnections when working from home. The VPN client connects successfully but drops after 15-30 minutes of use. This started happening after last weekend's network maintenance.</p><p>Affected users are on both Windows 11 and macOS Sonoma. We've tried reinstalling the VPN client but the issue persists.</p><p>This is impacting our team's productivity significantly. Can you please look into this urgently?</p><p>Thanks,<br><strong>David Park</strong><br>VP of Engineering, Acme Corp</p></div>",false,david.park@acmecorp.example.com,support@example.com,false,reply,America/Los_Angeles,,false,900000000000100001,,David Park,,,false,
900000000000310002,900000000000210001,2024-01-08 10:00:00,EMAIL OUTGOING,"<div><p>Hi David,</p><p>Thank you for reporting this. I'm looking into the VPN disconnection issue right away.</p><p>To help narrow down the cause, could you provide the following information:</p><p><strong>1.</strong> Which VPN client version are your team members using?<br><strong>2.</strong> Are the disconnections happening at consistent intervals or randomly?<br><strong>3.</strong> Do you see any specific error messages when the connection drops?</p><p>I've checked our network logs from the weekend maintenance and noticed the firewall rules for the VPN concentrator were updated. This could be related.</p><p>I'll keep this ticket as high priority and will update you as soon as I have more information.</p><p>Best regards,<br><strong>Sarah Chen</strong><br>IT Support Administrator</p></div>",false,support@example.com,david.park@acmecorp.example.com,false,reply,America/Los_Angeles,,false,900000000000100001,,Support Team,,,false,
900000000000310003,900000000000210001,2024-01-09 11:30:00,EMAIL INCOMING,"<div><p>Hi Sarah,</p><p>Thanks for the quick response. Here are the details you requested:</p><p><strong>1.</strong> VPN client version 5.2.1 on all affected machines<br><strong>2.</strong> The disconnections seem to happen roughly every 20-25 minutes, almost like a timeout<br><strong>3.</strong> The error message says: <em>""Connection timed out - Session keepalive failed""</em></p><p>The mention of firewall changes during maintenance sounds very promising as a lead. Let me know if you need anything else from our side.</p><p>Thanks,<br><strong>David Park</strong></p></div>",false,david.park@acmecorp.example.com,support@example.com,false,reply,America/Los_Angeles,,false,900000000000100001,,David Park,,,false,
900000000000310004,900000000000210001,2024-01-10 14:30:00,EMAIL OUTGOING,"<div><p>Hi David,</p><p>Great news - I've identified the root cause. The firewall maintenance inadvertently changed the VPN session keepalive timeout from 1800 seconds to 120 seconds. This explains the ~20-minute disconnection pattern your team is seeing.</p><p>Here's our plan to fix this:</p><blockquote><p><strong>Step 1:</strong> Restore VPN keepalive timeout to 1800 seconds (scheduling for tonight at 10 PM PST to minimize disruption)<br><strong>Step 2:</strong> Verify connectivity with a test group of 3 users tomorrow morning<br><strong>Step 3:</strong> Monitor for 24 hours to confirm stability</p></blockquote><p>I'll send you a confirmation once the change is applied tonight. Your team should see the improvement starting tomorrow morning.</p><p>Best regards,<br><strong>Sarah Chen</strong><br>IT Support Administrator</p></div>",false,support@example.com,david.park@acmecorp.example.com,false,reply,America/Los_Angeles,,false,900000000000100001,,David Park,,,false,
900000000000310005,900000000000210002,2024-01-10 11:00:00,EMAIL INCOMING,"<div><p>Hi, I just reset my password through the portal and now I can't access any of the shared network drives. My personal files are fine but the department shares show as disconnected.</p><p>Lisa Tran<br>Systems Administrator</p></div>",false,lisa.tran@acmecorp.example.com,support@example.com,false,reply,America/Los_Angeles,,false,900000000000100001,,Lisa Tran,,,false,
900000000000310006,900000000000210002,2024-01-10 11:45:00,EMAIL OUTGOING,"<div><p>Hi Lisa, the shared drives use cached credentials that need to be updated after a password change. Please open Command Prompt as admin and run: <strong>net use * /delete</strong> then reconnect. Let me know if that resolves it.</p><p>Marcus Johnson<br>IT Support</p></div>",false,support@example.com,lisa.tran@acmecorp.example.com,false,reply,America/Los_Angeles,,false,900000000000100001,,Lisa Tran,,,false,
900000000000310007,900000000000210003,2024-01-12 14:00:00,EMAIL INCOMING,"<div><p>Our ERP inventory module is showing 200 units of part #WH-4521 but the physical count is 340 units. This discrepancy appeared after yesterday's receiving batch was processed. We need this resolved before the end-of-week shipping run.</p><p>Anna Mueller<br>Operations Manager, Globex Industries</p></div>",false,anna.mueller@globex.example.com,support@example.com,false,reply,America/New_York,,false,900000000000100001,,Anna Mueller,,,false,
900000000000310008,900000000000210003,2024-01-12 15:00:00,EMAIL OUTGOING,"<div><p>Hi Anna, I'm looking into the inventory discrepancy now. Can you confirm the receiving batch number from yesterday? I want to trace the specific transaction records.</p><p>Priya Patel<br>Support Engineer</p></div>",false,support@example.com,anna.mueller@globex.example.com,false,reply,America/New_York,,false,900000000000100001,,Anna Mueller,,,false,
900000000000310009,900000000000210003,2024-01-14 09:00:00,EMAIL INCOMING,"<div><p>The batch number is RCV-2024-0112-003. I've also noticed two other parts with similar issues: #WH-4522 and #WH-4530. It seems like the entire batch may not have posted correctly.</p><p>Anna Mueller</p></div>",false,anna.mueller@globex.example.com,support@example.com,false,reply,America/New_York,,false,900000000000100001,,Anna Mueller,,,false,
